Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00     9999     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>&&)
  0.00      0.01     0.00     9999     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}>::operator()<std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>)
  0.00      0.01     0.00     9999     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> __gnu_cxx::__ops::__val_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>(__gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00     9999     0.00     0.00  void std::__unguarded_linear_insert<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Val_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Val_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00     9999     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>&>(__gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>&)
  0.00      0.01     0.00     9999     0.00     0.00  convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}::operator()(Point*, Point*) const
  0.00      0.01     0.00     9996     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_get_Tp_allocator()
  0.00      0.01     0.00     9992     0.00     0.00  void __gnu_cxx::new_allocator<Point*>::destroy<Point*>(Point**)
  0.00      0.01     0.00     9992     0.00     0.00  void std::allocator_traits<std::allocator<Point*> >::destroy<Point*>(std::allocator<Point*>&, Point**)
  0.00      0.01     0.00     9992     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::pop_back()
  0.00      0.01     0.00     3678     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::_M_set_node(Point***)
  0.00      0.01     0.00      994     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::operator-=(long)
  0.00      0.01     0.00      994     0.00     0.01  std::_Deque_iterator<Point*, Point*&, Point**> std::__unguarded_partition<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00      994     0.00     0.00  void std::__move_median_to_first<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00      994     0.00     0.01  std::_Deque_iterator<Point*, Point*&, Point**> std::__unguarded_partition_pivot<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00      994     0.00     0.00  std::operator-(std::_Deque_iterator<Point*, Point*&, Point**> const&, long)
  0.00      0.01     0.00      315     0.00     0.00  __gnu_cxx::new_allocator<Point*>::_M_max_size() const
  0.00      0.01     0.00      172     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00      159     0.00     0.00  __gnu_cxx::new_allocator<Point*>::deallocate(Point**, unsigned long)
  0.00      0.01     0.00      159     0.00     0.00  __gnu_cxx::new_allocator<Point*>::allocate(unsigned long, void const*)
  0.00      0.01     0.00      159     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_allocate_node()
  0.00      0.01     0.00      159     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_deallocate_node(Point**)
  0.00      0.01     0.00      159     0.00     0.00  std::allocator_traits<std::allocator<Point*> >::deallocate(std::allocator<Point*>&, Point**, unsigned long)
  0.00      0.01     0.00      159     0.00     0.00  std::allocator_traits<std::allocator<Point*> >::allocate(std::allocator<Point*>&, unsigned long)
  0.00      0.01     0.00      156     0.00     0.00  __gnu_cxx::new_allocator<Point*>::max_size() const
  0.00      0.01     0.00      156     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::max_size() const
  0.00      0.01     0.00      156     0.00     0.00  std::allocator_traits<std::allocator<Point*> >::max_size(std::allocator<Point*> const&)
  0.00      0.01     0.00      156     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::_S_max_size(std::allocator<Point*> const&)
  0.00      0.01     0.00      156     0.00     0.00  void std::deque<Point*, std::allocator<Point*> >::_M_push_back_aux<Point*>(Point*&&)
  0.00      0.01     0.00      156     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.01     0.00      156     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<Point**>::new_allocator()
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<Point**>::~new_allocator()
  0.00      0.01     0.00       16     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_get_map_allocator() const
  0.00      0.01     0.00       16     0.00     0.00  std::allocator<Point**>::allocator<Point*>(std::allocator<Point*> const&)
  0.00      0.01     0.00       16     0.00     0.00  std::allocator<Point**>::~allocator()
  0.00      0.01     0.00       15     0.00     0.00  Point*** std::__niter_base<Point***>(Point***)
  0.00      0.01     0.00       10     0.00     0.00  Point*** std::__miter_base<Point***>(Point***)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Point**>::deallocate(Point***, unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Point**>::allocate(unsigned long, void const*)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Point**>::_M_max_size() const
  0.00      0.01     0.00        8     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_allocate_map(unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_deallocate_map(Point***, unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::_Deque_iterator()
  0.00      0.01     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<Point**> >::deallocate(std::allocator<Point**>&, Point***, unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<Point**> >::allocate(std::allocator<Point**>&, unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00        7     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::begin()
  0.00      0.01     0.00        5     0.00     0.00  Point*** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Point**>(Point** const*, Point** const*, Point***)
  0.00      0.01     0.00        5     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.01     0.00        5     0.00     0.00  Point*** std::__niter_wrap<Point***>(Point*** const&, Point***)
  0.00      0.01     0.00        5     0.00     0.00  Point*** std::__copy_move_a<false, Point***, Point***>(Point***, Point***, Point***)
  0.00      0.01     0.00        5     0.00     0.00  Point*** std::__copy_move_a1<false, Point***, Point***>(Point***, Point***, Point***)
  0.00      0.01     0.00        5     0.00     0.00  Point*** std::__copy_move_a2<false, Point***, Point***>(Point***, Point***, Point***)
  0.00      0.01     0.00        5     0.00     0.00  Point*** std::copy<Point***, Point***>(Point***, Point***, Point***)
  0.00      0.01     0.00        4     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.01     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Point*>::~new_allocator()
  0.00      0.01     0.00        3     0.00     0.00  std::allocator<Point*>::~allocator()
  0.00      0.01     0.00        3     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl::~_Deque_impl()
  0.00      0.01     0.00        3     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_create_nodes(Point***, Point***)
  0.00      0.01     0.00        3     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_destroy_nodes(Point***, Point***)
  0.00      0.01     0.00        3     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_M_initialize_map(unsigned long)
  0.00      0.01     0.00        3     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::~_Deque_base()
  0.00      0.01     0.00        3     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::_M_destroy_data(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, std::allocator<Point*> const&)
  0.00      0.01     0.00        3     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::~deque()
  0.00      0.01     0.00        3     0.00     0.00  std::remove_reference<std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&>::type&& std::move<std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&>(std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&)
  0.00      0.01     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Point*>::new_allocator()
  0.00      0.01     0.00        2     0.00     0.00  std::allocator<Point*>::allocator()
  0.00      0.01     0.00        2     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl::_Deque_impl()
  0.00      0.01     0.00        2     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_base()
  0.00      0.01     0.00        2     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::deque()
  0.00      0.01     0.00        2     0.00     0.00  std::remove_reference<std::allocator<Point*>&>::type&& std::move<std::allocator<Point*>&>(std::allocator<Point*>&)
  0.00      0.01     0.00        2     0.00     0.00  std::remove_reference<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}&>::type&& std::move<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}&>(convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}&)
  0.00      0.01     0.00        1     0.00    10.00  convexHull(std::deque<Point*, std::allocator<Point*> >&)
  0.00      0.01     0.00        1     0.00     0.00  polygonArea(std::deque<Point*, std::allocator<Point*> >&)
  0.00      0.01     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.01     0.00        1     0.00     0.00  Point::Point(Point const&)
  0.00      0.01     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Point*>::new_allocator(__gnu_cxx::new_allocator<Point*> const&)
  0.00      0.01     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>::_Iter_comp_iter(convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2})
  0.00      0.01     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}>::_Iter_comp_iter(convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1})
  0.00      0.01     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> __gnu_cxx::__ops::__iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>(convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2})
  0.00      0.01     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}> __gnu_cxx::__ops::__iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}>(convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1})
  0.00      0.01     0.00        1     0.00     0.00  std::allocator<Point*>::allocator(std::allocator<Point*> const&)
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl::_Deque_impl(std::allocator<Point*>&&)
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data::_M_swap_data(std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&)
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data::_Deque_impl_data(std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&&)
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data::_Deque_impl_data(std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data const&)
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_base(std::_Deque_base<Point*, std::allocator<Point*> >&&)
  0.00      0.01     0.00        1     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::deque(std::deque<Point*, std::allocator<Point*> >&&)
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**> std::min_element<std::_Deque_iterator<Point*, Point*&, Point**>, convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}>(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1})
  0.00      0.01     0.00        1     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**> std::__min_element<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#1}>)
  0.00      0.01     0.00        1     0.00     0.00  void std::__insertion_sort<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00        1     0.00     7.08  void std::__introsort_loop<std::_Deque_iterator<Point*, Point*&, Point**>, long, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, long, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00        1     0.00     1.77  void std::__final_insertion_sort<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00        1     0.00     1.76  void std::__unguarded_insertion_sort<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)
  0.00      0.01     0.00        1     0.00     0.00  std::abs(float)
  0.00      0.01     0.00        1     0.00     0.00  std::__lg(long)
  0.00      0.01     0.00        1     0.00     8.85  void std::sort<std::_Deque_iterator<Point*, Point*&, Point**>, convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2})
  0.00      0.01     0.00        1     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data> >, std::is_move_constructible<std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data>, std::is_move_assignable<std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data> >::value, void>::type std::swap<std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data>(std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&, std::_Deque_base<Point*, std::allocator<Point*> >::_Deque_impl_data&)
  0.00      0.01     0.00        1     0.00     8.85  void std::__sort<std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>, __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 100.00% of 0.01 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.01                 main [1]
                0.00    0.01       1/1           convexHull(std::deque<Point*, std::allocator<Point*> >&) [3]
                0.00    0.00       1/1           polygonArea(std::deque<Point*, std::allocator<Point*> >&) [22]
                0.00    0.00   10001/40004       std::operator!=(std::_Deque_iterator<Point*, Point*&, Point**> const&, std::_Deque_iterator<Point*, Point*&, Point**> const&) [41]
                0.00    0.00   10000/10000       Point::Point(float, float) [56]
                0.00    0.00   10000/10000       std::deque<Point*, std::allocator<Point*> >::push_back(Point*&&) [62]
                0.00    0.00   10000/476086      std::_Deque_iterator<Point*, Point*&, Point**>::operator*() const [30]
                0.00    0.00   10000/10001       Point::~Point() [54]
                0.00    0.00   10000/108021      std::_Deque_iterator<Point*, Point*&, Point**>::operator++() [35]
                0.00    0.00       2/3           std::deque<Point*, std::allocator<Point*> >::~deque() [122]
                0.00    0.00       1/2           std::deque<Point*, std::allocator<Point*> >::deque() [128]
                0.00    0.00       1/7           std::deque<Point*, std::allocator<Point*> >::begin() [105]
                0.00    0.00       1/29899       std::deque<Point*, std::allocator<Point*> >::end() [43]
-----------------------------------------------
